Welches der folgenden Wörter ist kein Java-Schlüsselwort?
A: super
B: return
C: while
D: text
4
Welches der folgenden Datentypen ist nicht primitiv?
A: int
B: boolean
C: char
D: String
4
Eine Schwalbe macht noch keinen...
A: Frühling
B: Sommer
C: Herbst
D: Winter
2
Wie heißt der größte Hafen Europas?
A: Rotterdam
B: Amsterdam
C: Hamburg
D: Genua
1
Welcher Staat richtete bereits 1910 als erstes europäisches Land Naturschutzgebiete ein?
A: Frankreich
B: Norwegen
C: Schweden
D: Italien
3
Wie nennt man den Graphen einer quadratischen Funktion?
A: Parabel
B: Hyperbel
C: Gerade
D: Kreis
1
Wie nennt man die Grundrechenart, bei der das Ergebnis Wert des Quotienten heißt?
A: Addition
B: Multiplikation
C: Division
D: Substraktion
3
Die Fläche welcher geometrischen Figur wird durch das Produkt aus Länge und Breite berechnet?
A: Rechteck
B: Kreis
C: Zylinder
D: Elipse
1
Das Volumen welchen geometrischen Körpers wird durch die Formel 4/3πr³ berechnet?
A: Kugel
B: Hohlzylinder
C: Quadrat
D: Quader
1
Wie heißt die Umkehrfunktion einer Logarithmusfunktion?
A: Expotentialfunktion
B: Kreisfunktion
C: Gerade
D: Parabel
1
In welchem Jahr endete der 2.Weltkrieg?
A: 2014
B: 1918
C: 1962
D: 1945
4
Welcher Monat hat in einem Schaltjahr einen Tag mehr als sonst?
A: Februar
B: Dezember
C: April
D: Juni
1
Wie hieß Muhammad Ali bevor er zum Islam konvertierte?
A: Dale Carnegie
B: Samuel L. Jackson
C: Will Smith
D: Cassius Clay
